,-4,-2,0,2,4,6,8,10,Unnamed: 9,exp,model
2,36.533333,62.000000,91.333333,99.066667,99.333333,99.733333,99.600000,99.733333,99.600000,6000,Five-shot
3,28.266667,52.666667,80.266667,97.066667,99.466667,99.600000,99.733333,99.733333,99.733333,6000,Five-shot
4,21.600000,39.200000,59.200000,74.533333,90.933333,98.266667,99.066667,98.933333,99.333333,6000,Five-shot
5,22.400000,40.133333,61.866667,80.666667,96.133333,99.200000,99.466667,99.600000,99.600000,6000,Five-shot
6,46.533333,64.933333,84.666667,97.733333,99.200000,99.333333,99.466667,99.733333,99.733333,6000,Five-shot
7,35.066667,64.266667,81.600000,97.066667,99.466667,99.733333,99.733333,99.733333,99.600000,6000,Five-shot
8,34.933333,48.400000,72.666667,93.066667,99.333333,99.466667,99.733333,99.733333,99.733333,6000,Five-shot
9,29.200000,64.666667,85.866667,96.933333,99.333333,99.733333,99.733333,99.600000,99.600000,6000,Five-shot
0,0.533333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
2,0.266667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
5,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
9,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1980,Five-shot-prob
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
2,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
3,1.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
5,0.933333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
8,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000,Five-shot-prob
0,30.533333,41.466667,54.000000,76.000000,87.733333,92.800000,95.733333,96.666667,96.133333,1980,WDCNN
1,28.933333,38.666667,52.800000,75.600000,85.200000,93.066667,95.466667,96.533333,96.533333,1980,WDCNN
2,24.000000,34.800000,56.800000,76.533333,86.400000,92.800000,94.933333,96.133333,96.266667,1980,WDCNN
3,20.933333,33.200000,50.933333,69.466667,82.666667,91.066667,95.733333,95.600000,96.666667,1980,WDCNN
4,23.066667,34.400000,47.200000,69.333333,83.733333,90.933333,95.066667,95.466667,95.733333,1980,WDCNN
5,19.200000,30.800000,46.000000,68.400000,82.800000,89.866667,94.666667,96.400000,96.666667,1980,WDCNN
6,21.733333,33.466667,49.600000,73.200000,84.533333,90.666667,95.866667,95.600000,95.866667,1980,WDCNN
7,24.666667,37.333333,49.466667,68.133333,81.333333,90.133333,95.200000,95.733333,96.133333,1980,WDCNN
8,24.266667,36.533333,54.533333,74.266667,85.733333,92.266667,94.666667,95.866667,96.533333,1980,WDCNN
9,27.600000,40.533333,54.533333,74.266667,85.466667,93.333333,94.666667,96.133333,95.866667,1980,WDCNN
0,49.733333,72.800000,93.200000,98.266667,98.800000,99.200000,99.066667,99.333333,99.333333,6000,WDCNN
1,54.400000,78.666667,94.800000,98.533333,99.200000,99.333333,99.466667,99.466667,99.600000,6000,WDCNN
2,47.733333,71.600000,95.333333,98.000000,98.933333,99.066667,99.066667,99.066667,99.200000,6000,WDCNN
3,55.333333,81.600000,94.400000,98.133333,98.800000,99.066667,99.066667,99.200000,99.200000,6000,WDCNN
4,45.466667,67.866667,87.466667,94.800000,98.533333,99.066667,99.333333,99.466667,99.200000,6000,WDCNN
5,36.800000,59.600000,84.666667,94.400000,98.400000,99.066667,99.466667,99.066667,99.200000,6000,WDCNN
6,41.066667,62.533333,87.866667,97.200000,99.066667,99.066667,99.066667,99.066667,99.066667,6000,WDCNN
7,39.466667,60.000000,80.400000,92.666667,98.133333,98.933333,99.333333,99.333333,99.066667,6000,WDCNN
8,35.600000,63.600000,86.400000,96.400000,99.333333,99.200000,99.600000,99.600000,99.466667,6000,WDCNN
9,34.400000,62.666667,82.800000,91.200000,97.200000,98.800000,98.800000,99.066667,99.066667,6000,WDCNN
